kind,name,ref,status,host_placement,integration_mode,notes,tracked_at_utc,classification,layer,recommended_host,recommended_integration,classification_notes,available_in_bundle
upload,cluster-api-provider-nested-master.zip,/mnt/data/cluster-api-provider-nested-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
upload,cockpit-composer-main.zip,/mnt/data/cockpit-composer-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,federated-master.zip,/mnt/data/federated-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,mesh/federation,Genesys+Twin,Domain plane,Digital twin cloud mesh + federation concepts; requires deeper code triage.,False
upload,fedora-coreos-config-testing-devel.zip,/mnt/data/fedora-coreos-config-testing-devel.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,fedora-coreos-pipeline-main.zip,/mnt/data/fedora-coreos-pipeline-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,firmament-dev.zip,/mnt/data/firmament-dev.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,scheduling,Twin+Genesys,Advisor/namespace scheduler,Topology/cost-aware scheduling inspiration; implement as advisory PR patches first.,False
upload,giantnetes-terraform-master.zip,/mnt/data/giantnetes-terraform-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
upload,git-remote-gcrypt-master.zip,/mnt/data/git-remote-gcrypt-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,git-security,Genesys,Git encryption,Encrypted git remotes for multi-node gitcommons.,False
upload,gitlab-ci-terraform-main.zip,/mnt/data/gitlab-ci-terraform-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,graphql-query-generator-master.zip,/mnt/data/graphql-query-generator-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
upload,graphql-schema-bindings-master.zip,/mnt/data/graphql-schema-bindings-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
upload,gsctl-master.zip,/mnt/data/gsctl-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
upload,home-urbit-master.zip,/mnt/data/home-urbit-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,inspiration,smart-home/urbit,Twin,Domain exploration,Urbit/home automation exploration input.,False
upload,homebase-master.zip,/mnt/data/homebase-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,smart-home,Twin+Genesys,Domain feature,Smart home as first-class feature surface.,False
upload,kubebuilder-master.zip,/mnt/data/kubebuilder-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,operator-ux,Genesys+Twin,Tooling,Operator UX and k8s extension/tooling patterns.,False
upload,kubespray-master.zip,/mnt/data/kubespray-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
upload,kui-master.zip,/mnt/data/kui-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,operator-ux,Genesys+Twin,Tooling,Operator UX and k8s extension/tooling patterns.,False
upload,okd-master.zip,/mnt/data/okd-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,inspiration,openshift-compat,Twin/Genesys,Learning source,Learn OpenShift conventions/operators; not required dependency.,False
upload,openapi-to-graphql-master.zip,/mnt/data/openapi-to-graphql-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
upload,porter-charts-master.zip,/mnt/data/porter-charts-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-cli-action-main.zip,/mnt/data/porter-cli-action-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-docs-main.zip,/mnt/data/porter-docs-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-ecr-secrets-updater-main.zip,/mnt/data/porter-ecr-secrets-updater-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-eks-node-drainer-main.zip,/mnt/data/porter-eks-node-drainer-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-ephemeral-pods-manager-main.zip,/mnt/data/porter-ephemeral-pods-manager-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-heroku-buildpack-apt-master.zip,/mnt/data/porter-heroku-buildpack-apt-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,templates/dx,Inception+Twin,Template + CI,Deployment templates; useful for developer onboarding and previews.,False
upload,porter-heroku-buildpack-apt2-master.zip,/mnt/data/porter-heroku-buildpack-apt2-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,templates/dx,Inception+Twin,Template + CI,Deployment templates; useful for developer onboarding and previews.,False
upload,porter-job-manager-master.zip,/mnt/data/porter-job-manager-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-js-test-app-master.zip,/mnt/data/porter-js-test-app-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,templates/dx,Inception+Twin,Template + CI,Deployment templates; useful for developer onboarding and previews.,False
upload,porter-master.zip,/mnt/data/porter-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-node-drainer-master.zip,/mnt/data/porter-node-drainer-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-preview-action-master.zip,/mnt/data/porter-preview-action-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-self-hosted-master.zip,/mnt/data/porter-self-hosted-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter-update-action-main.zip,/mnt/data/porter-update-action-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,porter2-main.zip,/mnt/data/porter2-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,poseidon-master.zip,/mnt/data/poseidon-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,scheduling,Twin+Genesys,Advisor/namespace scheduler,Topology/cost-aware scheduling inspiration; implement as advisory PR patches first.,False
upload,pybossa-master.zip,/mnt/data/pybossa-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,volunteer-compute,Twin+Genesys,Pool profile,Compute pools and task placement patterns; keep as optional profile.,False
upload,rhel-edge-automation-arch-main.zip,/mnt/data/rhel-edge-automation-arch-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,rpm-ostree-main.zip,/mnt/data/rpm-ostree-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,os-image,Inception+Genesys,Signed OS pipeline,"Immutable OS build/promotion, CI, and rollout gating.",False
upload,singularity-cri-master.zip,/mnt/data/singularity-cri-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,volunteer-compute,Twin+Genesys,Pool profile,Compute pools and task placement patterns; keep as optional profile.,False
upload,supabase-master.zip,/mnt/data/supabase-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,platform-addon,Twin,Optional service,Optional productized database/auth layer; evaluate fit vs our own PaaS.,False
upload,the-mesh-for-data-master.zip,/mnt/data/the-mesh-for-data-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,mesh/federation,Genesys+Twin,Domain plane,Digital twin cloud mesh + federation concepts; requires deeper code triage.,False
upload,topolvm-master.zip,/mnt/data/topolvm-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,storage,Twin,Local PV (TopoLVM),Local-first Kubernetes storage profile for edge clusters.,False
upload,vercel-master.zip,/mnt/data/vercel-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,templates/dx,Inception+Twin,Template + CI,Deployment templates; useful for developer onboarding and previews.,False
upload,webprotege-next-gen-main.zip,/mnt/data/webprotege-next-gen-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
upload,whalebrew-master.zip,/mnt/data/whalebrew-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,operator-ux,Genesys+Twin,Tooling,Operator UX and k8s extension/tooling patterns.,False
url,ANRGUSC-CIRCE,https://github.com/ANRGUSC/CIRCE,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,ANRGUSC-DRUPE,https://github.com/ANRGUSC/DRUPE,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,ANRGUSC-DisCoSim,https://github.com/ANRGUSC/DisCoSim,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,ANRGUSC-Jupiter,https://github.com/ANRGUSC/Jupiter,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,ANRGUSC-WAVE,https://github.com/ANRGUSC/WAVE,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,Epiphany,https://github.com/shi-yan/Epiphany,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,atheos,https://github.com/Atheos/Atheos,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,containers-toolbox,https://github.com/containers/toolbox,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,core,operator-ux,Genesys,toolbx,Modern toolbx pattern for immutable hosts.,False
url,coreos-toolbox,https://github.com/coreos/toolbox,pending,,,Tracked URL from chat; upstream notes coreos/toolbox is deprecated in favor of containers/toolbox.,2026-01-14 14:05:30Z,inspiration,operator-ux,Genesys,toolbox pattern (deprecated),Deprecated in favor of containers/toolbox; keep for design lessons.,False
url,gueils-whales,https://github.com/Gueils/whales,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,operator-ux,Genesys+Twin,Tooling,Operator UX and k8s extension/tooling patterns.,False
url,home-assistant-cli,https://github.com/home-assistant/cli,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,smart-home,Twin+Genesys,Domain feature,Smart home as first-class feature surface.,False
url,jppf,https://github.com/jppf-grid/JPPF,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,volunteer-compute,Twin+Genesys,Pool profile,Compute pools and task placement patterns; keep as optional profile.,False
url,kompose,https://github.com/kubernetes/kompose,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,core,compose-bridge,Genesys+Inception,compose→k8s→PR,Compose-to-Kubernetes translator for local-first to GitOps.,False
url,kubevirt,https://github.com/kubevirt/kubevirt,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,unclassified,TBD,TBD,Needs triage.,False
url,multicluster-service-account,https://github.com/admiraltyio/multicluster-service-account,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
url,porter-dev-dex,https://github.com/porter-dev/dex,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,identity,Genesys,OIDC provider (Dex),OIDC issuer option for auth plane.,False
url,porter-switchboard,https://github.com/mdheller/porter-switchboard,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,pending,paas/porter,Genesys+Twin,TBD,Tracked; needs code triage to determine its role in our shim/control-plane.,False
url,razee,https://github.com/razee-io/Razee,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,cluster-lifecycle,Genesys+Inception,Declarative fleet mgmt,Multi-cluster lifecycle and distribution patterns.,False
url,roam-to-git,https://github.com/MatthieuBizien/roam-to-git,pending,,,Tracked URL from chat.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
internal_artifact,porter-shim,artifacts/porter-shim,built,Genesys,CapD backend (PR writer),Shim service translating Prophet CapDs into Git PRs + Porter/Argo observability; no direct kubectl apply.,2026-01-14 14:11:00Z,core,control-plane,Genesys,Prophet+GitOps,Capability backend stub; to be implemented as PR writer + evidence generator.,True
